1 	 0.000003 	 0.001007
2 	 0.000002 	 0.001449
3 	 0.000002 	 0.000001
4 	 0.000002 	 0.000001
5 	 0.000001 	 0.000001
6 	 0.000002 	 0.000001
7 	 0.000002 	 0.000002
8 	 0.000002 	 0.000002
9 	 0.000002 	 0.000002
10 	 0.000003 	 0.000002
11 	 0.000004 	 0.000003
12 	 0.000005 	 0.000002
13 	 0.000006 	 0.000004
14 	 0.000006 	 0.000003
15 	 0.000007 	 0.000004
16 	 0.000008 	 0.000005
17 	 0.000009 	 0.000005
18 	 0.000010 	 0.000006
19 	 0.000012 	 0.000007
20 	 0.000013 	 0.000007
21 	 0.000014 	 0.000008
22 	 0.000016 	 0.000009
23 	 0.000018 	 0.000009
24 	 0.000020 	 0.000010
25 	 0.000022 	 0.000012
26 	 0.000024 	 0.000013
27 	 0.000027 	 0.000014
28 	 0.000029 	 0.000016
29 	 0.000035 	 0.000017
30 	 0.000034 	 0.000019
31 	 0.000039 	 0.000021
32 	 0.000042 	 0.000022
33 	 0.000046 	 0.000025
34 	 0.000049 	 0.000027
35 	 0.000053 	 0.000029
36 	 0.000057 	 0.000031
37 	 0.000061 	 0.000034
38 	 0.000066 	 0.000037
39 	 0.000070 	 0.000041
40 	 0.000076 	 0.000042
41 	 0.000081 	 0.000046
42 	 0.000092 	 0.000048
43 	 0.000091 	 0.000052
44 	 0.000098 	 0.000055
45 	 0.000106 	 0.000072
46 	 0.000111 	 0.000063
47 	 0.000130 	 0.000068
48 	 0.000125 	 0.000072
49 	 0.000132 	 0.000076
50 	 0.000140 	 0.000081
51 	 0.000167 	 0.000086
52 	 0.000156 	 0.000091
53 	 0.000165 	 0.000096
54 	 0.000173 	 0.000101
55 	 0.000181 	 0.000107
56 	 0.000192 	 0.000112
57 	 0.000206 	 0.000124
58 	 0.000216 	 0.000127
59 	 0.000223 	 0.000131
60 	 0.000231 	 0.000138
61 	 0.000244 	 0.000144
62 	 0.000254 	 0.000151
63 	 0.000265 	 0.000160
64 	 0.000278 	 0.000168
65 	 0.000292 	 0.000174
66 	 0.000303 	 0.000182
67 	 0.000350 	 0.000197
68 	 0.000336 	 0.000205
69 	 0.000360 	 0.000354
70 	 0.000487 	 0.000268
71 	 0.000472 	 0.000243
72 	 0.000411 	 0.000241
73 	 0.000402 	 0.000247
74 	 0.000419 	 0.000258
75 	 0.001053 	 0.000297
76 	 0.000691 	 0.000318
77 	 0.000534 	 0.000303
78 	 0.000572 	 0.000419
79 	 0.000727 	 0.000347
80 	 0.000573 	 0.000326
81 	 0.000584 	 0.000345
82 	 0.000605 	 0.000350
83 	 0.000622 	 0.000364
84 	 0.000665 	 0.000401
85 	 0.000720 	 0.000440
86 	 0.000904 	 0.000414
87 	 0.000709 	 0.000440
88 	 0.000739 	 0.000430
89 	 0.000781 	 0.000455
90 	 0.000802 	 0.000469
91 	 0.000834 	 0.000477
92 	 0.000848 	 0.000493
93 	 0.000880 	 0.000513
94 	 0.000899 	 0.000525
95 	 0.000982 	 0.000543
96 	 0.001195 	 0.000772
97 	 0.001744 	 0.000591
98 	 0.001096 	 0.000613
99 	 0.001313 	 0.000626
