-4.9	-0.100388942
-4.7	-0.053541276
-4.5	-0.060019601
-4.3	-0.101980789
-4.1	-0.363973114
-3.9	0.491905817
-3.7	0.251643996
-3.5	0.270088206
-3.3	0.438517392
-3.1	1.492289767
-2.9	-1.918432688
-2.7	-0.931082785
-2.5	-0.945308720
-2.3	-1.447107394
-2.1	-4.626098278
-1.9	5.563454795
-1.7	2.513923519
-1.5	2.363271801
-1.3	3.328347007
-1.1	9.714806383
-0.8	-5.738554640
-0.7	-4.273669982
-0.5	-3.544907702
-0.3	-4.326851109
-0.2	-5.821148569
0.2	4.590843712
0.3	2.991568988
0.5	1.772453851
0.7	1.298055333
0.9	1.068628702
1	1
1.1	0.951350770
1.3	0.897470696
1.5	0.886226925
1.7	0.908638733
2	1
2.1	1.046485857
2.3	1.166711905
2.5	1.329340388
2.7	1.544685846
2.9	1.827355081
3	2
3.1	2.197620278
3.3	2.683437382
3.5	3.323350970
3.8	4.694174206
4	6
