       0.146713	      -0.887737	       0.301959	      -0.138466	      -0.124672	        1.02624	      -0.177286	       0.660396	       0.359801	      -0.965911	      -0.819374	       0.305515	       0.459573	
       0.151168	      -0.884781	       0.303554	      -0.142773	      -0.128316	        1.02759	      -0.175238	       0.666722	        0.35652	      -0.967867	       -0.81651	       0.301145	        0.45999	
       0.155615	      -0.881802	       0.305132	      -0.147081	      -0.131941	        1.02892	      -0.173192	       0.673055	       0.353169	      -0.969865	      -0.813559	        0.29681	       0.460389	
       0.160053	        -0.8788	       0.306692	      -0.151391	      -0.135545	        1.03023	      -0.171147	       0.679392	       0.349748	      -0.971903	      -0.810519	        0.29251	       0.460771	
       0.164484	      -0.875776	       0.308234	      -0.155701	      -0.139129	        1.03152	      -0.169105	       0.685733	       0.346255	      -0.973978	      -0.807392	       0.288245	       0.461137	
       0.168906	       -0.87273	       0.309758	      -0.160013	      -0.142693	        1.03278	      -0.167065	       0.692077	       0.342691	      -0.976091	      -0.804177	       0.284014	       0.461486	
       0.173319	      -0.869662	       0.311262	      -0.164325	      -0.146234	        1.03403	      -0.165028	       0.698421	       0.339055	      -0.978238	      -0.800875	       0.279817	        0.46182	
       0.177724	      -0.866571	       0.312748	      -0.168639	      -0.149755	        1.03525	      -0.162993	       0.704765	       0.335346	      -0.980419	      -0.797485	       0.275654	       0.462138	
        0.18212	      -0.863459	       0.314213	      -0.172953	      -0.153253	        1.03645	      -0.160961	       0.711106	       0.331565	      -0.982631	      -0.794007	       0.271525	       0.462442	
       0.186506	      -0.860326	       0.315659	      -0.177269	      -0.156728	        1.03763	      -0.158932	       0.717445	        0.32771	      -0.984874	      -0.790442	       0.267429	       0.462732	
       0.190883	      -0.857172	       0.317085	      -0.181585	       -0.16018	         1.0388	      -0.156906	       0.723778	       0.323782	      -0.987144	      -0.786791	       0.263366	       0.463009	
       0.195251	      -0.853997	       0.318491	      -0.185901	      -0.163608	        1.03994	      -0.154883	       0.730105	        0.31978	       -0.98944	      -0.783052	       0.259336	       0.463272	
        0.19961	      -0.850801	       0.319876	      -0.190219	      -0.167013	        1.04106	      -0.152863	       0.736424	       0.315704	      -0.991762	      -0.779227	       0.255338	       0.463523	
       0.203958	      -0.847585	        0.32124	      -0.194536	      -0.170393	        1.04216	      -0.150847	       0.742733	       0.311554	      -0.994105	      -0.775315	       0.251372	       0.463761	
       0.208297	      -0.844349	       0.322583	      -0.198855	      -0.173749	        1.04324	      -0.148834	       0.749032	        0.30733	       -0.99647	      -0.771317	       0.247438	       0.463988	
       0.212626	      -0.841093	       0.323904	      -0.203174	      -0.177079	        1.04431	      -0.146825	       0.755318	        0.30303	      -0.998854	      -0.767234	       0.243536	       0.464203	
       0.216945	      -0.837817	       0.325203	      -0.207493	      -0.180383	        1.04535	       -0.14482	       0.761591	       0.298657	       -1.00125	      -0.763065	       0.239664	       0.464408	
       0.221254	      -0.834522	        0.32648	      -0.211812	      -0.183662	        1.04637	      -0.142818	       0.767847	       0.294208	       -1.00367	       -0.75881	       0.235824	       0.464602	
       0.225552	      -0.831208	       0.327736	      -0.216131	      -0.186915	        1.04738	      -0.140821	       0.774087	       0.289685	        -1.0061	      -0.754471	       0.232013	       0.464786	
        0.22984	      -0.827875	       0.328968	      -0.220451	      -0.190141	        1.04837	      -0.138827	       0.780308	       0.285087	       -1.00854	      -0.750048	       0.228233	       0.464961	
